sch_name,sch_desc,sch_addr,sch_email,sch_logo,sch_eoi,sch_decile,sch_homepage,sch_district,sch_region
Bombay School,Full Primary,"35 Paparata Road , Bombay",admin@bombay.school.nz,http://www.bombay.school.nz/apple-touch-icon.png,407,,http://www.bombay.school.nz,Franklin Local Board Area,Rural Auckland
Brookby School,Full Primary,"359 Brookby Road , Manurewa, Auckland",office@brookby.school.nz,http://www.brookby.school.nz/apple-touch-icon.png,417,,http://www.brookby.school.nz,Franklin Local Board Area,Rural Auckland
Buckland School,Full Primary,"72 George Crescent , Buckland-Auckland",admin@buckland.school.nz,http://www.buckland.school.nz/apple-touch-icon.png,433,,http://www.buckland.school.nz/,Franklin Local Board Area,Rural Auckland
Christ the King Catholic School (Owairaka),Full Primary,"288 Richardson Road , Mount Roskill, Auckland",admin@ctk.school.nz,http://www.ctk.school.nz/apple-touch-icon.png,449,,http://www.ctk.school.nz,Puketāpapa Local Board Area,Central Auckland
Churchill Park School,Full Primary,"41 Kinsale Avenue , Glendowie, Auckland",principal@churchillpark.school.nz,http://www.churchillpark.school.nz/apple-touch-icon.png,363,,http://www.churchillpark.school.nz,Ōrākei Local Board Area,East Auckland
Clayton Park School,Full Primary,"187 Coxhead Road , Manurewa, Auckland",office@claytonpark.school.nz,http://www.claytonpark.school.nz/apple-touch-icon.png,509,,http://www.claytonpark.school.nz,Manurewa Local Board Area,South Auckland
Clevedon School,Full Primary,"13 North Road , Clevedon, Papakura",office@clevedonschool.co.nz,http://www.clevedon.school.nz/apple-touch-icon.png,414,,http://www.clevedon.school.nz,Franklin Local Board Area,Rural Auckland
Colwill School Massey,Full Primary,"Kintara Drive , Massey, Auckland",office@colwill.school.nz,http://www.colwill.school.nz/apple-touch-icon.png,499,,http://www.colwill.school.nz,Henderson-Massey Local Board Area,West Auckland
Conifer Grove School,Full Primary,"Evanda Crescent , Takanini, Auckland",admin@cgschool.ac.nz,http://www.conifergrove.school.nz/apple-touch-icon.png,431,,http://www.conifergrove.school.nz,Papakura Local Board Area,South Auckland
Don Buck School,Full Primary,"124 Don Buck Road , Massey, Auckland",office@donbuck.school.nz,http://www.donbuck.school.nz/apple-touch-icon.png,494,,http://www.donbuck.school.nz,Henderson-Massey Local Board Area,West Auckland
Drury School,Full Primary,"Young Crescent , Drury",office@drury.school.nz,http://www.drury.school.nz/apple-touch-icon.png,446,,http://www.drury.school.nz/,Papakura Local Board Area,South Auckland
Edmund Hillary School,Full Primary,"Hunua Road , Papakura",admin@edmundhillary.school.nz,,528,,,Papakura Local Board Area,South Auckland
Elim Christian College Henderson,Full Primary,"80 Central Park Drive , Henderson, Auckland",,,378,,,Henderson-Massey Local Board Area,West Auckland
Ellerslie School,Full Primary,"12 Kalmia Street , Ellerslie, Auckland",office@ellerslie.school.nz,http://www.ellerslie.school.nz/apple-touch-icon.png,373,,http://www.ellerslie.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Ficino School,Full Primary,"27 Esplanade Road , Mount Eden, Auckland",office@ficino.school.nz,http://www.ficino.school.nz/apple-touch-icon.png,,,http://www.ficino.school.nz,Albert-Eden Local Board Area,Central Auckland
Fossil Bay School,Full Primary,"58 Korora Road , Oneroa, Waiheke Island",management@fossilbay.co.nz,https://www.fossilbay.co.nz/apple-touch-icon.png,,,https://www.fossilbay.co.nz/,Waiheke Local Board Area,
Glenavon School,Full Primary,"340 Blockhouse Bay Road , Blockhouse Bay, Auckland",office@glenavon.school.nz,http://www.glenavon.school.nz/apple-touch-icon.png,494,,http://www.glenavon.school.nz,Whau Local Board Area,West Auckland
Glenbrae Primary School,Full Primary,"103 Leybourne Circle , Glen Innes, Auckland",office@glenbrae.school.nz,http://www.glenbrae.school.nz/apple-touch-icon.png,525,,http://www.glenbrae.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Glenbrook School,Full Primary,"459 Glenbrook-Waiuku Road , Glenbrook, Waiuku",admin@glenbrook.school.nz,http://www.glenbrook.school.nz/apple-touch-icon.png,443,,http://www.glenbrook.school.nz,Franklin Local Board Area,Rural Auckland
Glendowie School,Full Primary,"217 Riddell Road , Glendowie, Auckland",office@glendowie.school.nz,http://www.glendowie.school.nz/apple-touch-icon.png,364,,http://www.glendowie.school.nz/,Ōrākei Local Board Area,East Auckland
Glen Innes School,Full Primary,"38-40 Eastview Road , Glen Innes, Auckland",admin@gleninnes.school.nz,http://www.gleninnes.school.nz/apple-touch-icon.png,522,,http://www.gleninnes.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Glen Taylor School,Full Primary,"172 West Tamaki Road , Glendowie, Auckland",office@glentaylor.school.nz,http://www.glentaylor.school.nz/apple-touch-icon.png,516,,http://www.glentaylor.school.nz,Ōrākei Local Board Area,East Auckland
Golden Grove School,Full Primary,"57 Grey Street , Onehunga, Auckland",office@goldengrove.school.nz,http://www.goldengrove.school.nz/apple-touch-icon.png,,,http://www.goldengrove.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Green Bay Primary School,Full Primary,"131 Godley Road , Green Bay, Auckland",admin@greenbay.school.nz,https://greenbay.school.nz/apple-touch-icon.png,391,,https://greenbay.school.nz/,Whau Local Board Area,West Auckland
Helensville School,Full Primary,"29 Rata Street , Helensville",admin@helensville.school.nz,http://www.helensville.school.nz/apple-touch-icon.png,447,,http://www.helensville.school.nz/,Rodney Local Board Area,Rural Auckland
Hingaia Peninsula School,Full Primary,"3 Papaka Road , Hingaia, Auckland",senco@hp.school.nz,http://www.hingaiapeninsula.school.nz/apple-touch-icon.png,380,,http://www.hingaiapeninsula.school.nz,Papakura Local Board Area,South Auckland
Hobsonville Point Primary School,Full Primary,"18 De Havilland Road , Hobsonville Point, Auckland",,http://www.hobsonvillepoint.school.nz/apple-touch-icon.png,370,,http://www.hobsonvillepoint.school.nz,Upper Harbour Local Board Area,North Shore
Hobsonville School,Full Primary,"104 Hobsonville Road , Hobsonville, Auckland",office@hobsonville.school.nz,http://www.hobsonville.school.nz/apple-touch-icon.png,397,,http://www.hobsonville.school.nz,Upper Harbour Local Board Area,North Shore
Holy Cross Catholic School (Henderson),Full Primary,"8 Lavelle Road , Henderson, Auckland",admin@holycross.school.nz,http://www.holycross.school.nz/apple-touch-icon.png,413,,http://www.holycross.school.nz,Henderson-Massey Local Board Area,West Auckland
Holy Cross School (Papatoetoe),Full Primary,"Carruth Road , Papatoetoe, Auckland",office@hcsp.nz,http://www.hcsp.school.nz/apple-touch-icon.png,445,,http://www.hcsp.school.nz/,Ōtara-Papatoetoe Local Board Area,South Auckland
Huapai District School,Full Primary,"40 Station Road , Huapai",office@hds.school.nz,http://www.huapaidistrict.school.nz/apple-touch-icon.png,406,,http://www.huapaidistrict.school.nz,Rodney Local Board Area,Rural Auckland
Hunua School,Full Primary,"43 Lockwood Road , Hunua",office@hunua.school.nz,http://www.hunua.school.nz/apple-touch-icon.png,433,,http://www.hunua.school.nz/,Franklin Local Board Area,Rural Auckland
Jireh Christian School,Full Primary,"63 St Georges Road , Avondale, Auckland",administration@jireh.school.nz,http://www.jireh.school.nz/apple-touch-icon.png,387,,http://www.jireh.school.nz,Whau Local Board Area,West Auckland
Kadimah School,Full Primary,"514 Remuera Road , Remuera, Auckland",office@kadimah.school.nz,http://www.kadimah.school.nz/apple-touch-icon.png,361,,http://www.kadimah.school.nz,Ōrākei Local Board Area,East Auckland
Kaitoke School (Claris),Full Primary,"Kaitoke Lane , Claris, Great Barrier Island",office@kaitoke.school.nz,http://www.kaitoke.school.nz/apple-touch-icon.png,467,,http://www.kaitoke.school.nz/,Aotea/Great Barrier Local Board Area,
Karaka School,Full Primary,"12 Blackbridge Road , Papakura",admin@karaka.school.nz,http://www.karaka.school.nz/apple-touch-icon.png,403,,http://www.karaka.school.nz,Franklin Local Board Area,Rural Auckland
Kaukapakapa School,Full Primary,"977 Kaipara Coast Highway , Kaukapakapa",admin@kaukapakapa.school.nz,http://www.kaukapakapa.school.nz/apple-touch-icon.png,449,,http://www.kaukapakapa.school.nz,Rodney Local Board Area,Rural Auckland
Kauri Flats School,Full Primary,"181 Walters Road , Takanini, Auckland",admin@kauriflats.school.nz,http://www.kauriflats.school.nz/apple-touch-icon.png,410,,http://www.kauriflats.school.nz,Papakura Local Board Area,South Auckland
Kereru Park Campus,Full Primary,"58 Beach Road , Papakura",admin@kererupark.school.nz,http://www.kererupark.school.nz/apple-touch-icon.png,542,,http://www.kererupark.school.nz/,Papakura Local Board Area,South Auckland
King's School (Remuera),Full Primary,"258 Remuera Road , Remuera, Auckland",office@kings.school.nz,http://www.kings.school.nz/apple-touch-icon.png,,,http://www.kings.school.nz,Ōrākei Local Board Area,East Auckland
Kohia Terrace School,Full Primary,"3 Kohia Terrace , Epsom, Auckland",office@kts.school.nz,http://www.kts.school.nz/apple-touch-icon.png,344,,http://www.kts.school.nz,Albert-Eden Local Board Area,Central Auckland
Kohimarama School,Full Primary,"112 Kohimarama Road , Kohimarama, Auckland",office@kohimarama.school.nz,http://www.kohimarama.school.nz/apple-touch-icon.png,361,,http://www.kohimarama.school.nz,Ōrākei Local Board Area,East Auckland
Koru School,Full Primary,"71 Robertson Road , Mangere, Auckland",mel@koru.school.nz,http://www.koru.school.nz/apple-touch-icon.png,504,,http://www.koru.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
Lincoln Heights School,Full Primary,"Keegan Drive , Massey, Auckland",lhs@lincolnheights.school.nz,http://www.lincolnheights.school.nz/apple-touch-icon.png,490,,http://www.lincolnheights.school.nz,Henderson-Massey Local Board Area,West Auckland
Mangere Central School,Full Primary,"244 Kirkbride Road , Mangere, Auckland",office@mangerecentral.school.nz,http://www.mangerecentral.school.nz/apple-touch-icon.png,503,,http://www.mangerecentral.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
Māngere East School,Full Primary,"21 Yates Road , Mangere East, Auckland",office@meps.school.nz,http://www.meps.school.nz/apple-touch-icon.png,505,,http://www.meps.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
Maraetai Beach School,Full Primary,"154 Maraetai Drive , Maraetai Beach",office@maraetaibeach.school.nz,http://www.maraetaibeach.school.nz/apple-touch-icon.png,398,,http://www.maraetaibeach.school.nz/,Franklin Local Board Area,Rural Auckland
Marina View School,Full Primary,"97 Marina View Drive , West Harbour, Auckland",office@marinaview.school.nz,http://www.marinav.school.nz/apple-touch-icon.png,386,,http://www.marinav.school.nz,Upper Harbour Local Board Area,North Shore
Massey Primary School,Full Primary,"326 Don Buck Road , Massey, Auckland",masseyprimary@xtra.co.nz,http://www.masseyprimary.school.nz/apple-touch-icon.png,492,,http://www.masseyprimary.school.nz,Henderson-Massey Local Board Area,West Auckland
Matua Ngaru School,Full Primary,"47-49 Gilbransen Road , Kumeu",aculverwell@matuangaru.school.nz,https://www.matuangaru.school.nz/apple-touch-icon.png,399,,https://www.matuangaru.school.nz/,Rodney Local Board Area,Rural Auckland
Meraki Montessori School,Full Primary,"293 Wainui Road , Silverdale",admin@merakimontessori.co.nz,http://www.merakimontessori.co.nz/apple-touch-icon.png,,,http://www.merakimontessori.co.nz,Rodney Local Board Area,Rural Auckland
Mulberry Grove School,Full Primary,"271 Shoal Bay Road , Tryphena",office@mulberrygrove.school.nz,http://www.mulberrygrove.school.nz/apple-touch-icon.png,482,,http://www.mulberrygrove.school.nz,Aotea/Great Barrier Local Board Area,
Ngākōroa School,Full Primary,"1 Rorotu Ave , Karaka",hello@ngakoroa.school.nz,http://www.ngakoroa.school.nz/apple-touch-icon.png,466,,http://www.ngakoroa.school.nz/,Franklin Local Board Area,Rural Auckland
Okiwi School,Full Primary,"1 Mabey Road , Okiwi",office@okiwischool.co.nz,http://www.okiwischool.co.nz/apple-touch-icon.png,475,,http://www.okiwischool.co.nz,Aotea/Great Barrier Local Board Area,
Opaheke School,Full Primary,"Tasman Drive , Papakura",office@opaheke.school.nz,http://www.opaheke.school.nz/apple-touch-icon.png,460,,http://www.opaheke.school.nz,Papakura Local Board Area,South Auckland
Orakei School,Full Primary,"Grace Street , Orakei, Auckland",office@orakei.school.nz,http://www.orakei.school.nz/apple-touch-icon.png,449,,http://www.orakei.school.nz,Ōrākei Local Board Area,East Auckland
Orere School,Full Primary,"275 Orere Point Road , Orere Point, Papakura",office@orere.school.nz,http://www.orere.school.nz/apple-touch-icon.png,473,,http://www.orere.school.nz/,Franklin Local Board Area,Rural Auckland
Paerata School,Full Primary,"32 Jonah Lomu Drive , Paerata",office@paerata.school.nz,http://www.paerata.school.nz/apple-touch-icon.png,465,,http://www.paerata.school.nz,Franklin Local Board Area,Rural Auckland
Pakiri School,Full Primary,"4 Bathgate Road , Pakiri, Wellsford",office@pakiri.school.nz,http://www.pakiri.school.nz/apple-touch-icon.png,486,,http://www.pakiri.school.nz,Rodney Local Board Area,Rural Auckland
Panama Road School,Full Primary,"139 Panama Road , Mt Wellington, Auckland",office@panamard.school.nz,http://www.panamard.school.nz/apple-touch-icon.png,511,,http://www.panamard.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Panmure Bridge School,Full Primary,"76 Kings Road , Panmure, Auckland",office@panmurebridge.school.nz,http://www.panmurebridge.school.nz/apple-touch-icon.png,499,,http://www.panmurebridge.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Panmure District School,Full Primary,"87 Mount Wellington Highway , Panmure, Auckland",office@panmure.school.nz,http://panmure.school.nz/apple-touch-icon.png,473,,http://panmure.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Papakura Normal School,Full Primary,"49 Walters Road , Papakura",schoolsecretary@papnormal.school.nz,http://www.papnormal.school.nz/apple-touch-icon.png,491,,http://www.papnormal.school.nz,Papakura Local Board Area,South Auckland
Paparimu School,Full Primary,"3 Matheson Road , Paparimu, Papakura",admin@paparimu.school.nz,http://www.paparimu.school.nz/apple-touch-icon.png,454,,http://www.paparimu.school.nz,Franklin Local Board Area,Rural Auckland
Parakai School,Full Primary,"10 Fordyce Road , Parakai",office@parakai.school.nz,http://www.parakai.school.nz/apple-touch-icon.png,481,,http://www.parakai.school.nz,Rodney Local Board Area,Rural Auckland
Parnell School,Full Primary,"48 St Stephens Avenue , Parnell, Auckland",office@parnell.school.nz,http://www.parnell.school.nz/apple-touch-icon.png,382,,http://www.parnell.school.nz,Waitematā Local Board Area,Central Auckland
Pt England School,Full Primary,"130 Pt England Road , Panmure, Auckland",admin@ptengland.school.nz,http://www.ptengland.school.nz/apple-touch-icon.png,518,,http://www.ptengland.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Pukekohe North School,Full Primary,"Princes Street , Pukekohe",admin@pukekohenorth.school.nz,http://www.pukekohenorth.school.nz/apple-touch-icon.png,558,,http://www.pukekohenorth.school.nz,Franklin Local Board Area,Rural Auckland
Ramarama School,Full Primary,"126 Ararimu Road , Drury",admin@ramarama.school.nz,https://ramarama.school.nz/apple-touch-icon.png,412,,https://ramarama.school.nz/,Franklin Local Board Area,Rural Auckland
Randwick Park School,Full Primary,"Riverton Drive , Randwick Park, Auckland",rpoffice@randwickpark.school.nz,http://www.randwickpark.school.nz/apple-touch-icon.png,496,,http://www.randwickpark.school.nz/,Manurewa Local Board Area,South Auckland
Redhill School,Full Primary,"Redcrest Avenue , Papakura",office@redhill.school.nz,http://www.redhill.school.nz/apple-touch-icon.png,535,,http://www.redhill.school.nz,Papakura Local Board Area,South Auckland
Redoubt North School,Full Primary,"Diorella Drive , Manukau Central, Auckland",office@redoubt.school.nz,http://www.redoubt.school.nz/apple-touch-icon.png,475,,http://www.redoubt.school.nz,Ōtara-Papatoetoe Local Board Area,South Auckland
Reremoana School,Full Primary,"Scotsmoor Drive , Wattle Downs, Auckland",office@reremoana.school.nz,http://www.reremoana.school.nz/apple-touch-icon.png,408,,http://www.reremoana.school.nz,Manurewa Local Board Area,South Auckland
Rise UP Academy,Full Primary,"6C Court Town Close , Mangere, Auckland",,http://www.riseupacademy.school.nz/apple-touch-icon.png,485,,http://www.riseupacademy.school.nz/,Māngere-Ōtāhuhu Local Board Area,South Auckland
Riverhead School,Full Primary,"21 School Road , Riverhead",admin@riverhead.school.nz,http://www.riverhead.school.nz/apple-touch-icon.png,389,,http://www.riverhead.school.nz,Rodney Local Board Area,Rural Auckland
Robertson Road School,Full Primary,"205 Robertson Road , Mangere, Auckland",office@robertson.school.nz,http://www.robertson.school.nz/apple-touch-icon.png,507,,http://www.robertson.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
Royal Road School,Full Primary,"Royal Road , Massey, Auckland",office@royalroad.school.nz,http://www.royalroad.school.nz/apple-touch-icon.png,491,,http://www.royalroad.school.nz,Henderson-Massey Local Board Area,West Auckland
Ruapotaka School,Full Primary,"10A Taratoa Street , Panmure, Auckland",office@ruapotaka.school.nz,,526,,,Maungakiekie-Tāmaki Local Board Area,East Auckland
Saint Kentigern Boys' School,Full Primary,"82 Shore Road , Remuera, Auckland",sandra.melhuish@saintkentigern.com,http://www.saintkentigern.com/apple-touch-icon.png,,,http://www.saintkentigern.com,Ōrākei Local Board Area,East Auckland
Saint Kentigern Girls' School,Full Primary,"82 Shore Road , Remuera, Auckland",skg_admin@saintkentigern.com,http://www.saintkentigern.com/apple-touch-icon.png,,,http://www.saintkentigern.com,Ōrākei Local Board Area,East Auckland
Sandspit Road School,Full Primary,"Sandspit Road , Waiuku",admin@sandspit.school.nz,http://www.sandspit.school.nz/apple-touch-icon.png,459,,http://www.sandspit.school.nz,Franklin Local Board Area,Rural Auckland
Scott Point School,Full Primary,"11 Scott Road , Hobsonville, Auckland",admin@scottpointschool.nz,https://www.scottpointschool.nz/apple-touch-icon.png,362,,https://www.scottpointschool.nz/,Upper Harbour Local Board Area,North Shore
South Auckland S D A School,Full Primary,"42 A Puhinui Road , Papatoetoe, Auckland",office@sasda.school.nz,http://www.sasda.school.nz/apple-touch-icon.png,474,,http://www.sasda.school.nz,Ōtara-Papatoetoe Local Board Area,South Auckland
Stanhope Road School,Full Primary,"2 B Harris Road , Mount Wellington, Auckland",office@stanhope.school.nz,http://www.stanhope.school.nz/apple-touch-icon.png,415,,http://www.stanhope.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
St Anne's Catholic School (Manurewa),Full Primary,"124 Russell Road , Manurewa, Auckland",debbies@stanne.school.nz,http://www.stanne.school.nz/apple-touch-icon.png,453,,http://www.stanne.school.nz,Manurewa Local Board Area,South Auckland
St Heliers School,Full Primary,"126 St Heliers Bay Road , St Heliers, Auckland",secretary@stheliers.school.nz,http://www.stheliers.school.nz/apple-touch-icon.png,366,,http://www.stheliers.school.nz,Ōrākei Local Board Area,East Auckland
St John the Evangelist Catholic School,Full Primary,"14B Otara Road , Otara, Auckland",monicav@stjohnsotara.school.nz,,487,,,Ōtara-Papatoetoe Local Board Area,South Auckland
St Joseph's Catholic School (Onehunga),Full Primary,"125 Church Street , Onehunga, Auckland",admin@sjs.school.nz,http://www.sjs.school.nz/apple-touch-icon.png,447,,http://www.sjs.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
St Joseph's School (Grey Lynn),Full Primary,"456 Great North Road , Grey Lynn, Auckland",office@st-joseph.school.nz,http://www.st-joseph.school.nz/apple-touch-icon.png,447,,http://www.st-joseph.school.nz,Waitematā Local Board Area,Central Auckland
St Joseph's School (Otahuhu),Full Primary,"29 High Street , Otahuhu, Auckland",principal@stjosephsotahuhu.school.nz,http://www.stjosephsotahuhu.school.nz/apple-touch-icon.png,468,,http://www.stjosephsotahuhu.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
St Mary MacKillop Catholic School,Full Primary,"12 Mcnaughton Avenue , Mangere, Auckland",katrinag@marymackillop.school.nz,http://www.marymackillop.school.nz/apple-touch-icon.png,475,,http://www.marymackillop.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland
St Mary's Catholic School (Avondale),Full Primary,"2136 Great North Road , Avondale, Auckland",stmarysoffice@stmarysavondale.school.nz,http://www.stmarysavondale.school.nz/apple-touch-icon.png,447,,http://www.stmarysavondale.school.nz,Whau Local Board Area,West Auckland
Stonefields School,Full Primary,"81 Tihi Street , Stonefields, Auckland",admin@stonefields.school.nz,http://www.stonefields.school.nz/apple-touch-icon.png,361,,http://www.stonefields.school.nz/,Ōrākei Local Board Area,East Auckland
St Patrick's School (Panmure),Full Primary,"5 Church Crescent , Panmure, Auckland",admin@saintpatricks.school.nz,http://www.saintpatricks.school.nz/apple-touch-icon.png,445,,http://www.saintpatricks.school.nz/,Maungakiekie-Tāmaki Local Board Area,East Auckland
St Pius X Catholic School (Glen Innes),Full Primary,"103 Castledine Crescent , Glen Innes, Auckland",office@saintpiusx.school.nz,http://www.saintpiusx.school.nz/apple-touch-icon.png,501,,http://www.saintpiusx.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
St Therese School (Three Kings),Full Primary,"463 Mt Albert Road , Three Kings, Auckland",office@sttherese.school.nz,http://www.sainttherese.school.nz/apple-touch-icon.png,470,,http://www.sainttherese.school.nz,Puketāpapa Local Board Area,Central Auckland
St Thomas School (Auckland),Full Primary,"Allum Street , Kohimarama, Auckland",principal@stthomas.school.nz,http://www.stthomas.school.nz/apple-touch-icon.png,377,,http://www.stthomas.school.nz,Ōrākei Local Board Area,East Auckland
Summit Point School,Full Primary,"1 Fred Thomas Drive , Takapuna, Auckland",,http://www.summitpoint.co.nz/apple-touch-icon.png,,,http://www.summitpoint.co.nz/,Devonport-Takapuna Local Board Area,North Shore
Sutton Park School,Full Primary,"89 Vine Street , Mangere East, Auckland",tlemanu@suttonpark.school.nz,http://www.suttonpark.school.nz/apple-touch-icon.png,494,,http://www.suttonpark.school.nz/,Māngere-Ōtāhuhu Local Board Area,South Auckland
Swanson School,Full Primary,"703 Swanson Road , Swanson",office@swanson.school.nz,http://www.swanson.school.nz/apple-touch-icon.png,462,,http://www.swanson.school.nz,Waitākere Ranges Local Board Area,West Auckland
Sylvia Park School,Full Primary,"Longford Street , Mount Wellington, Auckland",office@sylviapark.school.nz,http://www.sylviapark.school.nz/apple-touch-icon.png,461,,http://www.sylviapark.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Takanini School,Full Primary,"39 Takanini School Road , Takanini, Auckland",officemanager@takanini.school.nz,http://www.takanini.school.nz/apple-touch-icon.png,500,,http://www.takanini.school.nz,Papakura Local Board Area,South Auckland
Tāmaki School,Full Primary,"11a Alamein Road , Panmure, Auckland",office@tamakiprimary.school.nz,http://www.tamakiprimary.school.nz/apple-touch-icon.png,522,,http://www.tamakiprimary.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Tapora School,Full Primary,"1 Okahukura Road , Tapora",office@tapora.school.nz,http://www.tapora.school.nz/apple-touch-icon.png,441,,http://www.tapora.school.nz/,Rodney Local Board Area,Rural Auckland
Tauhoa School,Full Primary,"Naumai Road , Tauhoa, Warkworth",office@tauhoa.school.nz,http://www.tauhoa.school.nz/apple-touch-icon.png,497,,http://www.tauhoa.school.nz,Rodney Local Board Area,Rural Auckland
Taupaki School,Full Primary,"Cottle Road , Henderson, Auckland",office@taupaki.school.nz,http://www.taupaki.school.nz/apple-touch-icon.png,427,,http://www.taupaki.school.nz,Rodney Local Board Area,Rural Auckland
Te Hihi School,Full Primary,"767 Linwood Road , Papakura",office@tehihi.school.nz,http://www.tehihi.school.nz/apple-touch-icon.png,450,,http://www.tehihi.school.nz/,Franklin Local Board Area,Rural Auckland
The Forest School,Full Primary,"605 Hibiscus Coast Highway , Waiwera, Orewa",,https://www.theforest.school.nz/apple-touch-icon.png,462,,https://www.theforest.school.nz/,Hibiscus and Bays Local Board Area,North Shore
The Gardens School,Full Primary,"101 Charles Prevost Drive , The Gardens, Manukau",reception@thegardens.school.nz,http://www.thegardens.school.nz/apple-touch-icon.png,400,,http://www.thegardens.school.nz,Manurewa Local Board Area,South Auckland
Timatanga Community School,Full Primary,"9 Mamari Road , Whenuapai, Waitakere",allison.butcher@timatanga.school.nz,http://timatanga.school.nz/apple-touch-icon.png,413,,http://timatanga.school.nz/,Upper Harbour Local Board Area,North Shore
TKKM o Manurewa,Full Primary,"119 Katikati Drive , Manurewa, Auckland",kiaora@tpmm.school.nz,,544,,,Manurewa Local Board Area,South Auckland
TKKM o Piripono Te Kura Whakahou ki Ōtara,Full Primary,"52 Alexander Crescent , Otara, Auckland",admin@piripono.school.nz,http://www.piripono.school.nz/apple-touch-icon.png,542,,http://www.piripono.school.nz,Ōtara-Papatoetoe Local Board Area,South Auckland
TKKM o Te Kotuku,Full Primary,"92 Simpson Road , Ranui, Auckland",tari@tekotuku.school.nz,,509,,,Henderson-Massey Local Board Area,West Auckland
TKKM o Waiuku,Full Primary,"100 Creamery Road , Auckland",,,472,,,Franklin Local Board Area,Rural Auckland
Tomarata School,Full Primary,"8 Pakiri Block Road , Wellsford",office@tomarata.school.nz,http://www.tomarata.school.nz/apple-touch-icon.png,468,,http://www.tomarata.school.nz,Rodney Local Board Area,Rural Auckland
View Road School,Full Primary,"View Road , Waiuku",admin@viewroad.school.nz,http://www.viewroad.school.nz/apple-touch-icon.png,524,,http://www.viewroad.school.nz,Franklin Local Board Area,Rural Auckland
Viscount School,Full Primary,"Viscount Street , Mangere Central, Auckland",admin@viscount.school.nz,http://www.viscount.school.nz/apple-touch-icon.png,516,,http://www.viscount.school.nz/,Māngere-Ōtāhuhu Local Board Area,South Auckland
