sch_name,sch_desc,sch_addr,sch_email,sch_logo,sch_eoi,sch_decile,sch_homepage,sch_district,sch_region,offers_study_tour,matched_keyword,checked_url,http_status,error
Buckland School,Full Primary,"72 George Crescent , Buckland-Auckland",admin@buckland.school.nz,http://www.buckland.school.nz/apple-touch-icon.png,433,,http://www.buckland.school.nz/,Franklin Local Board Area,Rural Auckland,no,,http://www.buckland.school.nz/,200,
Christ the King Catholic School (Owairaka),Full Primary,"288 Richardson Road , Mount Roskill, Auckland",admin@ctk.school.nz,http://www.ctk.school.nz/apple-touch-icon.png,449,,http://www.ctk.school.nz,Puketāpapa Local Board Area,Central Auckland,no,,http://www.ctk.school.nz,200,
Churchill Park School,Full Primary,"41 Kinsale Avenue , Glendowie, Auckland",principal@churchillpark.school.nz,http://www.churchillpark.school.nz/apple-touch-icon.png,363,,http://www.churchillpark.school.nz,Ōrākei Local Board Area,East Auckland,yes,international students,http://www.churchillpark.school.nz,200,
Clayton Park School,Full Primary,"187 Coxhead Road , Manurewa, Auckland",office@claytonpark.school.nz,http://www.claytonpark.school.nz/apple-touch-icon.png,509,,http://www.claytonpark.school.nz,Manurewa Local Board Area,South Auckland,no,,http://www.claytonpark.school.nz,200,
Clevedon School,Full Primary,"13 North Road , Clevedon, Papakura",office@clevedonschool.co.nz,http://www.clevedon.school.nz/apple-touch-icon.png,414,,http://www.clevedon.school.nz,Franklin Local Board Area,Rural Auckland,yes,international students,http://www.clevedon.school.nz,200,
Colwill School Massey,Full Primary,"Kintara Drive , Massey, Auckland",office@colwill.school.nz,http://www.colwill.school.nz/apple-touch-icon.png,499,,http://www.colwill.school.nz,Henderson-Massey Local Board Area,West Auckland,yes,international students,http://www.colwill.school.nz,200,
Conifer Grove School,Full Primary,"Evanda Crescent , Takanini, Auckland",admin@cgschool.ac.nz,http://www.conifergrove.school.nz/apple-touch-icon.png,431,,http://www.conifergrove.school.nz,Papakura Local Board Area,South Auckland,no,,http://www.conifergrove.school.nz,200,
Don Buck School,Full Primary,"124 Don Buck Road , Massey, Auckland",office@donbuck.school.nz,http://www.donbuck.school.nz/apple-touch-icon.png,494,,http://www.donbuck.school.nz,Henderson-Massey Local Board Area,West Auckland,no,,http://www.donbuck.school.nz,200,
Drury School,Full Primary,"Young Crescent , Drury",office@drury.school.nz,http://www.drury.school.nz/apple-touch-icon.png,446,,http://www.drury.school.nz/,Papakura Local Board Area,South Auckland,no,,http://www.drury.school.nz/,200,
Edmund Hillary School,Full Primary,"Hunua Road , Papakura",admin@edmundhillary.school.nz,,528,,,Papakura Local Board Area,South Auckland,unknown,,,,no homepage
Elim Christian College Henderson,Full Primary,"80 Central Park Drive , Henderson, Auckland",,,378,,,Henderson-Massey Local Board Area,West Auckland,unknown,,,,no homepage
Ellerslie School,Full Primary,"12 Kalmia Street , Ellerslie, Auckland",office@ellerslie.school.nz,http://www.ellerslie.school.nz/apple-touch-icon.png,373,,http://www.ellerslie.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland,no,,http://www.ellerslie.school.nz,200,
Ficino School,Full Primary,"27 Esplanade Road , Mount Eden, Auckland",office@ficino.school.nz,http://www.ficino.school.nz/apple-touch-icon.png,,,http://www.ficino.school.nz,Albert-Eden Local Board Area,Central Auckland,no,,http://www.ficino.school.nz,200,
Fossil Bay School,Full Primary,"58 Korora Road , Oneroa, Waiheke Island",management@fossilbay.co.nz,https://www.fossilbay.co.nz/apple-touch-icon.png,,,https://www.fossilbay.co.nz/,Waiheke Local Board Area,,yes,international students,https://www.fossilbay.co.nz/,200,
Glenavon School,Full Primary,"340 Blockhouse Bay Road , Blockhouse Bay, Auckland",office@glenavon.school.nz,http://www.glenavon.school.nz/apple-touch-icon.png,494,,http://www.glenavon.school.nz,Whau Local Board Area,West Auckland,no,,http://www.glenavon.school.nz,200,
Glenbrae Primary School,Full Primary,"103 Leybourne Circle , Glen Innes, Auckland",office@glenbrae.school.nz,http://www.glenbrae.school.nz/apple-touch-icon.png,525,,http://www.glenbrae.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland,yes,visitor,http://www.glenbrae.school.nz,200,
Glenbrook School,Full Primary,"459 Glenbrook-Waiuku Road , Glenbrook, Waiuku",admin@glenbrook.school.nz,http://www.glenbrook.school.nz/apple-touch-icon.png,443,,http://www.glenbrook.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.glenbrook.school.nz,200,
Glendowie School,Full Primary,"217 Riddell Road , Glendowie, Auckland",office@glendowie.school.nz,http://www.glendowie.school.nz/apple-touch-icon.png,364,,http://www.glendowie.school.nz/,Ōrākei Local Board Area,East Auckland,yes,international students,http://www.glendowie.school.nz/,200,
Glen Innes School,Full Primary,"38-40 Eastview Road , Glen Innes, Auckland",admin@gleninnes.school.nz,http://www.gleninnes.school.nz/apple-touch-icon.png,522,,http://www.gleninnes.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland,no,,http://www.gleninnes.school.nz,200,
Glen Taylor School,Full Primary,"172 West Tamaki Road , Glendowie, Auckland",office@glentaylor.school.nz,http://www.glentaylor.school.nz/apple-touch-icon.png,516,,http://www.glentaylor.school.nz,Ōrākei Local Board Area,East Auckland,no,,http://www.glentaylor.school.nz,200,
Golden Grove School,Full Primary,"57 Grey Street , Onehunga, Auckland",office@goldengrove.school.nz,http://www.goldengrove.school.nz/apple-touch-icon.png,,,http://www.goldengrove.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland,yes,international students,http://www.goldengrove.school.nz,200,
Green Bay Primary School,Full Primary,"131 Godley Road , Green Bay, Auckland",admin@greenbay.school.nz,https://greenbay.school.nz/apple-touch-icon.png,391,,https://greenbay.school.nz/,Whau Local Board Area,West Auckland,yes,international students,https://greenbay.school.nz/,200,
Helensville School,Full Primary,"29 Rata Street , Helensville",admin@helensville.school.nz,http://www.helensville.school.nz/apple-touch-icon.png,447,,http://www.helensville.school.nz/,Rodney Local Board Area,Rural Auckland,no,,http://www.helensville.school.nz/,200,
Hingaia Peninsula School,Full Primary,"3 Papaka Road , Hingaia, Auckland",senco@hp.school.nz,http://www.hingaiapeninsula.school.nz/apple-touch-icon.png,380,,http://www.hingaiapeninsula.school.nz,Papakura Local Board Area,South Auckland,no,,http://www.hingaiapeninsula.school.nz,,"HTTPConnectionPool(host='www.hingaiapeninsula.school.nz', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPConnection(host='www.hingaiapeninsula.school.nz', port=80) at 0x7f8aa50ab040>, 'Connection to www.hingaiapeninsula.school.nz timed out. (connect timeout=10)'))"
Hobsonville Point Primary School,Full Primary,"18 De Havilland Road , Hobsonville Point, Auckland",,http://www.hobsonvillepoint.school.nz/apple-touch-icon.png,370,,http://www.hobsonvillepoint.school.nz,Upper Harbour Local Board Area,North Shore,no,,http://www.hobsonvillepoint.school.nz,200,
Hobsonville School,Full Primary,"104 Hobsonville Road , Hobsonville, Auckland",office@hobsonville.school.nz,http://www.hobsonville.school.nz/apple-touch-icon.png,397,,http://www.hobsonville.school.nz,Upper Harbour Local Board Area,North Shore,yes,international students,http://www.hobsonville.school.nz/international,200,
Holy Cross Catholic School (Henderson),Full Primary,"8 Lavelle Road , Henderson, Auckland",admin@holycross.school.nz,http://www.holycross.school.nz/apple-touch-icon.png,413,,http://www.holycross.school.nz,Henderson-Massey Local Board Area,West Auckland,no,,http://www.holycross.school.nz,200,
Holy Cross School (Papatoetoe),Full Primary,"Carruth Road , Papatoetoe, Auckland",office@hcsp.nz,http://www.hcsp.school.nz/apple-touch-icon.png,445,,http://www.hcsp.school.nz/,Ōtara-Papatoetoe Local Board Area,South Auckland,no,,http://www.hcsp.school.nz/,200,
Huapai District School,Full Primary,"40 Station Road , Huapai",office@hds.school.nz,http://www.huapaidistrict.school.nz/apple-touch-icon.png,406,,http://www.huapaidistrict.school.nz,Rodney Local Board Area,Rural Auckland,yes,visits,http://www.huapaidistrict.school.nz/international,200,
Hunua School,Full Primary,"43 Lockwood Road , Hunua",office@hunua.school.nz,http://www.hunua.school.nz/apple-touch-icon.png,433,,http://www.hunua.school.nz/,Franklin Local Board Area,Rural Auckland,no,,http://www.hunua.school.nz/,200,
Jireh Christian School,Full Primary,"63 St Georges Road , Avondale, Auckland",administration@jireh.school.nz,http://www.jireh.school.nz/apple-touch-icon.png,387,,http://www.jireh.school.nz,Whau Local Board Area,West Auckland,yes,international students,http://www.jireh.school.nz,200,
Kadimah School,Full Primary,"514 Remuera Road , Remuera, Auckland",office@kadimah.school.nz,http://www.kadimah.school.nz/apple-touch-icon.png,361,,http://www.kadimah.school.nz,Ōrākei Local Board Area,East Auckland,yes,international students,http://www.kadimah.school.nz,200,
Kaitoke School (Claris),Full Primary,"Kaitoke Lane , Claris, Great Barrier Island",office@kaitoke.school.nz,http://www.kaitoke.school.nz/apple-touch-icon.png,467,,http://www.kaitoke.school.nz/,Aotea/Great Barrier Local Board Area,,yes,international students,http://www.kaitoke.school.nz/,200,
Karaka School,Full Primary,"12 Blackbridge Road , Papakura",admin@karaka.school.nz,http://www.karaka.school.nz/apple-touch-icon.png,403,,http://www.karaka.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.karaka.school.nz,200,
Kaukapakapa School,Full Primary,"977 Kaipara Coast Highway , Kaukapakapa",admin@kaukapakapa.school.nz,http://www.kaukapakapa.school.nz/apple-touch-icon.png,449,,http://www.kaukapakapa.school.nz,Rodney Local Board Area,Rural Auckland,yes,visitor,http://www.kaukapakapa.school.nz,200,
Kauri Flats School,Full Primary,"181 Walters Road , Takanini, Auckland",admin@kauriflats.school.nz,http://www.kauriflats.school.nz/apple-touch-icon.png,410,,http://www.kauriflats.school.nz,Papakura Local Board Area,South Auckland,yes,visitor,http://www.kauriflats.school.nz,200,
Kereru Park Campus,Full Primary,"58 Beach Road , Papakura",admin@kererupark.school.nz,http://www.kererupark.school.nz/apple-touch-icon.png,542,,http://www.kererupark.school.nz/,Papakura Local Board Area,South Auckland,no,,http://www.kererupark.school.nz/,200,
King's School (Remuera),Full Primary,"258 Remuera Road , Remuera, Auckland",office@kings.school.nz,http://www.kings.school.nz/apple-touch-icon.png,,,http://www.kings.school.nz,Ōrākei Local Board Area,East Auckland,no,,http://www.kings.school.nz,200,
Kohia Terrace School,Full Primary,"3 Kohia Terrace , Epsom, Auckland",office@kts.school.nz,http://www.kts.school.nz/apple-touch-icon.png,344,,http://www.kts.school.nz,Albert-Eden Local Board Area,Central Auckland,yes,international students,http://www.kts.school.nz,200,
Kohimarama School,Full Primary,"112 Kohimarama Road , Kohimarama, Auckland",office@kohimarama.school.nz,http://www.kohimarama.school.nz/apple-touch-icon.png,361,,http://www.kohimarama.school.nz,Ōrākei Local Board Area,East Auckland,no,,http://www.kohimarama.school.nz,200,
Koru School,Full Primary,"71 Robertson Road , Mangere, Auckland",mel@koru.school.nz,http://www.koru.school.nz/apple-touch-icon.png,504,,http://www.koru.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland,no,,http://www.koru.school.nz,200,
Lincoln Heights School,Full Primary,"Keegan Drive , Massey, Auckland",lhs@lincolnheights.school.nz,http://www.lincolnheights.school.nz/apple-touch-icon.png,490,,http://www.lincolnheights.school.nz,Henderson-Massey Local Board Area,West Auckland,no,,http://www.lincolnheights.school.nz,200,
Mangere Central School,Full Primary,"244 Kirkbride Road , Mangere, Auckland",office@mangerecentral.school.nz,http://www.mangerecentral.school.nz/apple-touch-icon.png,503,,http://www.mangerecentral.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland,no,,http://www.mangerecentral.school.nz,200,
Māngere East School,Full Primary,"21 Yates Road , Mangere East, Auckland",office@meps.school.nz,http://www.meps.school.nz/apple-touch-icon.png,505,,http://www.meps.school.nz,Māngere-Ōtāhuhu Local Board Area,South Auckland,no,,http://www.meps.school.nz,200,
Maraetai Beach School,Full Primary,"154 Maraetai Drive , Maraetai Beach",office@maraetaibeach.school.nz,http://www.maraetaibeach.school.nz/apple-touch-icon.png,398,,http://www.maraetaibeach.school.nz/,Franklin Local Board Area,Rural Auckland,yes,international students,http://www.maraetaibeach.school.nz/,200,
Marina View School,Full Primary,"97 Marina View Drive , West Harbour, Auckland",office@marinaview.school.nz,http://www.marinav.school.nz/apple-touch-icon.png,386,,http://www.marinav.school.nz,Upper Harbour Local Board Area,North Shore,yes,international students,http://www.marinav.school.nz,200,
Massey Primary School,Full Primary,"326 Don Buck Road , Massey, Auckland",masseyprimary@xtra.co.nz,http://www.masseyprimary.school.nz/apple-touch-icon.png,492,,http://www.masseyprimary.school.nz,Henderson-Massey Local Board Area,West Auckland,yes,visitor,http://www.masseyprimary.school.nz,200,
Matua Ngaru School,Full Primary,"47-49 Gilbransen Road , Kumeu",aculverwell@matuangaru.school.nz,https://www.matuangaru.school.nz/apple-touch-icon.png,399,,https://www.matuangaru.school.nz/,Rodney Local Board Area,Rural Auckland,yes,school tour,https://www.matuangaru.school.nz/,200,
Meraki Montessori School,Full Primary,"293 Wainui Road , Silverdale",admin@merakimontessori.co.nz,http://www.merakimontessori.co.nz/apple-touch-icon.png,,,http://www.merakimontessori.co.nz,Rodney Local Board Area,Rural Auckland,no,,http://www.merakimontessori.co.nz,200,
